# This file contains 'Interaction Scores' generated by rec-YnH score function
DB(Read 1) \ AD(Read 2)	"ADRM1"	"AP2B1"	"ARL2"	"BCL2L2"	"BIK"	"BNIP3"	"BNIP3L"	"BRMS1"	"BTG1"	"CCL14"	"CCND2"	"CCND3"	"CDK4"	"CDK6"	"CDKN1A"	"CDKN2D"	"CEP55"	"CNOT7"	"CTBP1"	"DAPK1"	"DDX39A"	"DMRTB1"	"EIF4EBP2"	"EXOSC1"	"EXOSC5"	"FHL3"	"GAA"	"IGF2"	"IKZF1"	"IKZF5"	"KLF3"	"LSM2"	"LSM3"	"MME"	"MORF4L1"	"MRFAP1"	"MRFAP1L1"	"MTA1"	"NMI"	"OR10AG1"	"PCNA"	"PIAS1"	"PLEKHG7"	"PPID"	"PSMC1"	"PSMC2"	"PSMD2"	"PSMD5"	"QKI"	"RBBP4"	"RBBP8"	"RBFOX2"	"RBPMS"	"REEP2"	"RING1"	"RYBP"	"S100A1"	"S100B"	"S100P"	"SARNP"	"SH3GLB1"	"SH3GLB2"	"SNX32"	"STMN2"	"STX4"	"SUPT4H1"	"SUPT5H"	"TEX11"	"TOPBP1"	"TSG101"	"UBE2I"	"UCHL5"	"VAMP2"	"VAMP3"	"WDR7"	"lam"	"largeT"	"p53"
"ADRM1"	0.000000	0.000000	0.000000	0.000000	1.929991	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.619777	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.312342	0.000000	0.000000	0.000000	0.000000	0.969752	0.000000	0.000000	0.000000	1.375420	0.474308	0.000000	0.000000	2.791227	0.000000	0.000000	0.367256	0.000000	0.000000	0.000000	0.220529	0.000000	1.514101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.026008	0.000000	2.650524	0.000000	0.000000	0.000000	0.000000	0.456066	0.000000
"AP2B1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"ARL2"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.540920	0.000000	0.000000	0.000000	0.850316	0.000000	0.000000	0.000000	0.000000	0.000000	1.709169	0.000000	0.000000	1.000157	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.916409	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.423433	0.000000	0.000000	0.000000	0.000000	1.709169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.982087	1.465492	0.000000	0.000000	0.000000	0.000000	0.000000	1.834216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.789565	0.612837	0.000000
"BCL2L2"	0.000000	0.000000	0.000000	0.000000	6.481087	4.131679	0.000000	0.000000	0.000000	0.000000	0.000000	0.507560	0.575123	0.485073	0.000000	0.000000	0.000000	1.602053	0.000000	0.000000	0.000000	1.171700	0.000000	0.000000	0.000000	0.000000	0.000000	0.327077	3.810320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.319266	0.000000	0.357038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.506180	0.000000	1.734037	1.171700	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.859413	0.000000	0.000000	0.571579	0.000000	0.000000	0.000000	0.216672	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.851397	0.000000	0.000000
"BIK"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.298418	0.329967	0.000000	0.000000	0.904262	0.000000	0.498831	0.335694	0.938139	0.000000	1.264662	0.000000	0.000000	2.759401	1.198374	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.460633	0.000000	0.590953	0.000000	0.000000	0.258576	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.843830	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.126479	1.326186	0.000000	0.379156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
"BNIP3"	0.811642	0.000000	0.000000	0.000000	0.000000	0.000000	4.696097	0.000000	0.000000	0.000000	0.000000	0.672562	1.250850	0.807829	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.284406	1.353445	0.295611	0.956878	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.763647	0.000000	0.000000	0.000000	0.236760	0.000000	0.414088	0.000000	0.436796	0.000000	0.000000	0.000000	0.000000	1.121931	0.000000	0.000000	0.000000	0.000000	0.647458	0.000000	0.279635	0.000000	0.000000	0.000000	0.314653	0.000000	1.902667	0.359749	0.348333	0.000000	0.204352	0.000000	0.735445	0.000000	0.000000	0.000000	0.938423	0.000000	0.000000	0.000000	0.000000	1.675593	0.000000
"BNIP3L"	0.000000	3.552083	0.000000	0.000000	0.000000	4.898489	0.000000	0.631614	0.690900	0.000000	0.000000	0.430003	1.144116	0.990873	0.000000	0.790693	0.000000	0.000000	0.000000	0.956944	1.340734	0.000000	0.505002	0.747679	0.000000	1.135279	0.000000	0.000000	0.000000	0.000000	0.000000	0.524007	0.000000	0.000000	0.000000	1.014301	0.853387	0.300114	0.000000	0.555055	0.000000	0.662780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.560481	0.954496	0.000000	0.000000	0.000000	0.401200	2.945983	1.379307	0.000000	0.000000	0.000000	0.341309	0.000000	1.969253	0.000000	0.000000	0.000000	0.264151	0.000000	0.000000	0.000000	0.000000	1.139385	0.000000
"BRMS1"	0.000000	0.000000	0.787451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.381224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.243836	0.000000	0.926482	0.680746	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.367828	0.603449	0.000000	0.000000	0.000000	0.000000	0.690072	4.880690	0.500670	0.000000	0.000000	0.000000	0.000000	1.955652	2.224123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.604583	0.730139	0.000000	0.320516	0.000000	0.000000	0.000000	0.000000	0.000000	2.065514	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.340825	0.000000	0.000000	0.000000	0.000000	0.399509	0.000000
"BTG1"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.791054	0.539535	0.000000	0.000000	0.000000	0.000000	0.999330	0.493234	0.331722	0.000000	0.000000	6.561156	0.000000	1.114756	0.000000	0.000000	0.603169	0.880483	0.644351	0.318441	0.000000	0.000000	3.836697	0.000000	0.000000	0.000000	0.000000	0.000000	1.313045	0.000000	0.999330	1.101306	2.111670	0.000000	0.000000	0.444749	0.000000	0.000000	0.822178	0.514636	0.000000	0.000000	2.272912	0.000000	0.000000	0.000000	0.000000	1.157263	0.000000	0.301356	0.000000	0.000000	0.000000	0.482375	0.000000	1.314653	0.000000	0.000000	0.000000	0.412011	1.483173	1.289428	0.000000	1.803820	2.295175	0.000000	0.000000	0.000000	0.000000	0.269101	0.376212	0.000000
"CCL14"	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.244567	0.802132	0.000000	0.000000	0.000000	0.632081	0.566188	2.074274	0.000000	0.000000	0.000000	1.593855	0.000000	0.000000	1.479534	0.676919	1.036008	1.061369	0.351598	0.000000	0.000000	0.000000	0.365540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.180294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.835917	0.000000	1.237954	0.000000	0.000000	0.000000	3.471544	0.000000	0.000000	0.991390	0.000000	0.000000	0.000000	0.000000	2.655051	1.038763	0.000000	0.000000	0.000000	0.233574	0.000000	0.000000	0.000000	0.000000	2.366206	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
